system:index,0,0.5,1,1.5,total_area_96,total_area_20,total_loss,total_gain,change,per_change,seascape_size
"-1,968,354",S,N,N,N,0.028396992,0,0.028396992,0,-0.028396992,-100,25
"-1,967,354",S,S,S,S,1.955541756,0,1.955541756,0,-1.955541756,-100,25
"-1,966,354",S,S,S,S,2.646291107,0,2.646291107,0,-2.646291107,-100,25
"-1,965,354",S,S,S,N,0.275963003,0,0.275963003,0,-0.275963003,-100,25
"-1,964,354",S,S,S,S,0.786302602,0,0.786302602,0,-0.786302602,-100,25
"-1,963,354",S,S,S,S,1.59780093,0,1.59780093,0,-1.59780093,-100,25
"-1,962,354",S,S,S,S,1.652945325,0,1.652945325,0,-1.652945325,-100,25
"-1,961,354",S,S,S,S,1.105878329,0,1.105878329,0,-1.105878329,-100,25
"-1,960,354",S,S,S,S,5.478489058,0,5.478489058,0,-5.478489058,-100,25
"-1,959,354",S,S,S,S,5.961496952,0,5.961496952,0,-5.961496952,-100,25
"-1,958,354",S,S,S,S,0.930002611,0.183013491,0.930002611,0.183013491,-0.74698912,-80.32118525,25
"-1,957,354",S,S,N,N,0.189049694,1.841934548,0.123642283,1.776527136,1.652884854,874.3123668,25
"-1,956,354",MS,S,S,S,1.24755561,6.098989269,0.903313909,5.754747567,4.851433659,388.8751427,25
"-1,955,354",S,S,S,S,2.608470557,2.082341138,1.724617157,1.198487738,-0.526129419,-20.1700348,25
"-1,954,354",MS,MS,MS,MS,2.419051018,1.83850757,1.741775879,1.161232431,-0.580543448,-23.9988096,25
"-1,953,354",MS,S,S,S,2.973801963,1.413079676,2.093414317,0.53269203,-1.560722287,-52.48238808,25
"-1,952,354",MS,MS,MS,MS,2.117871407,1.498002768,1.366551689,0.74668305,-0.619868639,-29.26847385,25
"-1,951,354",MS,MS,S,S,0.939703684,1.855956784,0.643945552,1.560198652,0.9162531,97.50447036,25
"-1,950,354",S,S,N,N,0.185958948,4.489448302,0.161865451,4.465354805,4.303489354,2314.214723,25
"-1,949,354",S,S,S,S,1.498635175,2.61524343,1.338576684,2.455184939,1.116608255,74.50834423,25
"-1,948,354",S,S,S,S,0.927056161,0.185888359,0.921032672,0.17986487,-0.741167802,-79.94853313,25
"-1,947,354",S,S,S,S,0.567403294,1.127382002,0.527816244,1.087794953,0.559978708,98.69147993,25
"-1,946,354",S,S,S,N,0.273961755,1.112431485,0.2576102,1.09607993,0.83846973,306.0535694,25
"-1,945,354",S,S,S,S,0.728931739,0.168965656,0.704834268,0.144868184,-0.559966083,-76.82009893,25
"-1,944,354",S,S,S,S,0.492543973,0.002581729,0.492543973,0.002581729,-0.489962244,-99.47583787,25
"-1,943,354",S,S,S,S,0.487656315,0.090351068,0.473851293,0.07658317,-0.397305247,-81.4723884,25
"-1,982,355",N,N,N,N,0,0,0,0,0,0,25
"-1,981,355",N,N,N,N,0,0,0,0,0,0,25
"-1,980,355",S,S,S,S,6.97162993,7.130761921,5.256057114,5.415189105,0.159131991,2.28256509,25
"-1,979,355",S,S,S,S,16.59871191,3.195360715,14.72807083,1.324719626,-13.4033512,-80.7493453,25
"-1,978,355",S,S,S,S,7.096141284,2.210786286,6.327579019,1.44222402,-4.885354998,-68.84523296,25
"-1,977,355",S,S,S,S,9.173020326,0.008315976,9.171299801,0.00659545,-9.16470435,-99.9093431,25
"-1,976,355",S,S,S,S,17.51431791,0,17.51431791,0,-17.51431791,-100,25
"-1,975,355",S,S,S,S,21.82256865,0,21.82256865,0,-21.82256865,-100,25
"-1,974,355",MS,S,S,S,22.63922371,0.279914412,22.42211857,0.06280928,-22.3593093,-98.76358653,25
"-1,973,355",MS,S,S,S,12.47203186,0.13221185,12.34957098,0.009750971,-12.33982001,-98.93993335,25
"-1,972,355",S,S,S,S,14.4751718,0.263851247,14.26093747,0.049616917,-14.21132055,-98.17721509,25
"-1,971,355",S,S,S,S,1.388659413,0,1.388659413,0,-1.388659413,-100,25
"-1,970,355",S,N,N,N,0.119293323,0,0.119293323,0,-0.119293323,-100,25
"-1,969,355",S,S,S,S,0.801830234,0,0.801830234,0,-0.801830234,-100,25
"-1,968,355",S,N,N,N,0.015485634,0,0.015485634,0,-0.015485634,-100,25
"-1,967,355",S,S,N,N,0.133935777,0,0.133935777,0,-0.133935777,-100,25
"-1,966,355",S,S,S,S,0.608551249,0,0.608551249,0,-0.608551249,-100,25
"-1,965,355",N,N,N,N,0,0,0,0,0,0,25
"-1,964,355",N,N,N,N,0,0,0,0,0,0,25
"-1,963,355",N,N,N,N,0,0,0,0,0,0,25
"-1,962,355",N,N,N,N,0,0,0,0,0,0,25
"-1,961,355",S,N,N,N,0.00602296,0,0.00602296,0,-0.00602296,-100,25
"-1,960,355",S,S,S,S,1.303743179,0,1.303743179,0,-1.303743179,-100,25
"-1,959,355",S,S,S,S,2.325001006,0,2.325001006,0,-2.325001006,-100,25
"-1,958,355",S,S,S,S,0.381439655,0,0.381439655,0,-0.381439655,-100,25
"-1,957,355",S,S,S,S,0.651254882,0.835441135,0.648673768,0.832860022,0.184186253,28.28174622,25
"-1,956,355",S,S,S,S,0.592787847,1.5293704,0.537726629,1.474309182,0.936582553,157.9962473,25
"-1,955,355",S,S,S,S,0.751076397,1.293940074,0.698598288,1.241461966,0.542863677,72.27809037,25
"-1,954,355",S,S,S,S,0.55923289,0.259815507,0.542886378,0.243468995,-0.299417383,-53.54073202,25
"-1,953,355",S,N,N,N,0.115853224,0.267262559,0.115853224,0.267262559,0.151409335,130.690653,25
"-1,952,355",S,S,S,S,1.855792921,0.213934739,1.833424087,0.191565906,-1.641858182,-88.4720576,25
"-1,951,355",S,S,S,S,1.490471578,2.151194026,1.349942325,2.010664772,0.660722448,44.3297583,25
"-1,950,355",S,S,S,S,1.379919654,0.988905885,1.328294911,0.937281141,-0.391013769,-28.33598086,25
"-1,949,355",S,S,N,N,0.137177053,0.47893492,0.136029865,0.477787732,0.341757867,249.1363238,25
"-1,948,355",S,N,N,N,0.071416434,0.000860324,0.071416434,0.000860324,-0.07055611,-98.7953417,25
"-1,947,355",N,N,N,N,0,0,0,0,0,0,25
"-1,946,355",S,N,N,N,0.007169902,0,0.007169902,0,-0.007169902,-100,25
"-1,945,355",N,N,N,N,0,0,0,0,0,0,25
"-1,944,355",S,N,N,N,0.031835386,0,0.031835386,0,-0.031835386,-100,25
"-1,943,355",S,N,N,N,0.012906654,0.000860431,0.012906654,0.000860431,-0.012046223,-93.33343096,25
"-1,982,356",N,N,N,N,0,0,0,0,0,0,25
"-1,981,356",N,N,N,N,0,0,0,0,0,0,25
"-1,980,356",S,S,S,S,1.70123761,1.138093017,1.389831822,0.82668723,-0.563144593,-33.10205404,25
"-1,979,356",S,S,S,S,4.066393636,4.721903277,2.989973389,3.64548303,0.655509641,16.12017182,25
"-1,978,356",SR,SR,SR,S,10.17041054,5.214574432,8.32101629,3.36518018,-4.955836109,-48.72798486,25
"-1,977,356",SR,SR,S,S,18.01216017,1.518991538,17.27014395,0.776975324,-16.49316863,-91.56685526,25
"-1,976,356",SR,SR,SR,S,3.240559788,0.401097683,3.235972584,0.396510478,-2.839462105,-87.62258038,25
"-1,975,356",S,S,S,S,17.48937734,0.002580337,17.48851723,0.001720223,-17.486797,-99.98524626,25
"-1,974,356",S,S,S,S,22.69755217,0,22.69755217,0,-22.69755217,-100,25
"-1,973,356",S,S,S,S,14.73323089,0,14.73323089,0,-14.73323089,-100,25
"-1,972,356",S,S,S,S,8.429463766,0,8.429463766,0,-8.429463766,-100,25
"-1,971,356",S,S,S,S,0.903779897,0,0.903779897,0,-0.903779897,-100,25
"-1,970,356",S,S,N,N,0.189529017,0,0.189529017,0,-0.189529017,-100,25
"-1,969,356",S,S,S,N,0.371027824,0,0.371027824,0,-0.371027824,-100,25
"-1,968,356",SR,S,N,N,0.301049325,0.007740739,0.300189243,0.006880657,-0.293308586,-97.42874727,25
"-1,967,356",SR,SR,R,R,0.620420334,0.018061678,0.615259864,0.012901208,-0.602358656,-97.0887998,25
"-1,966,356",S,S,S,S,0.754660542,0,0.754660542,0,-0.754660542,-100,25
"-1,965,356",S,N,N,N,0.021502975,0,0.021502975,0,-0.021502975,-100,25
"-1,964,356",N,N,N,N,0,0,0,0,0,0,25
"-1,963,356",N,N,N,N,0,0,0,0,0,0,25
"-1,962,356",N,N,N,N,0,0,0,0,0,0,25
"-1,961,356",N,N,N,N,0,0,0,0,0,0,25
"-1,960,356",S,S,S,S,0.469675961,0,0.469675961,0,-0.469675961,-100,25
"-1,959,356",S,S,S,S,1.583873825,0,1.583873825,0,-1.583873825,-100,25
"-1,958,356",S,S,S,S,1.180669122,0,1.180669122,0,-1.180669122,-100,25
"-1,957,356",S,S,S,S,1.418146517,0,1.418146517,0,-1.418146517,-100,25
"-1,956,356",S,S,S,S,0.891985989,0.05104179,0.891985989,0.05104179,-0.840944199,-94.27773635,25
"-1,955,356",S,S,S,N,0.356117992,0.88200807,0.326010467,0.851900544,0.525890078,147.6729876,25
"-1,954,356",S,S,S,S,1.464288582,2.389219119,1.235485839,2.160416376,0.924930537,63.16586419,25
"-1,953,356",S,S,S,S,0.717402394,2.789448952,0.608161202,2.68020776,2.072046558,288.8262676,25
"-1,952,356",S,S,S,S,1.185037064,1.466595201,1.035366208,1.316924345,0.281558137,23.7594372,25
"-1,951,356",S,S,S,S,1.523935328,1.06493733,1.43017418,0.971176181,-0.458997998,-30.119257,25
"-1,950,356",S,S,S,S,1.755019244,0.00688177,1.754159035,0.00602156,-1.748137474,-99.60788065,25
"-1,949,356",S,S,S,N,0.340344051,0.026666926,0.338050028,0.024372904,-0.313677125,-92.16471511,25
"-1,948,356",S,N,N,N,0.049602039,0,0.049602039,0,-0.049602039,-100,25
"-1,947,356",S,N,N,N,0.007741685,0,0.007741685,0,-0.007741685,-100,25
"-1,946,356",S,N,N,N,0.004301268,0,0.004301268,0,-0.004301268,-100,25
"-1,945,356",S,N,N,N,0.011182699,0,0.011182699,0,-0.011182699,-100,25
"-1,944,356",N,N,N,N,0,0,0,0,0,0,25
"-1,943,356",N,N,N,N,0,0,0,0,0,0,25
"-1,982,357",N,N,N,N,0,0,0,0,0,0,25
"-1,981,357",N,N,N,N,0,0,0,0,0,0,25
"-1,980,357",N,N,N,N,0,0,0,0,0,0,25
"-1,979,357",S,S,S,S,0.556422724,0.321351489,0.403919278,0.168848043,-0.235071235,-42.24687901,25
"-1,978,357",SR,SR,SR,SR,3.938779826,7.951095881,2.790989268,6.803305323,4.012316055,101.8669799,25
"-1,977,357",SR,SR,SR,S,8.331904849,2.877174681,7.576252568,2.1215224,-5.454730168,-65.46798441,25
"-1,976,357",SR,SR,SR,SR,2.28693164,3.466782796,1.983649943,3.163501099,1.179851156,51.59101109,25
"-1,975,357",SR,SR,S,S,12.15976093,0.158507838,12.14342289,0.142169807,-12.00125309,-98.69645597,25
"-1,974,357",S,S,S,S,23.18973727,0,23.18973727,0,-23.18973727,-100,25
"-1,973,357",S,S,S,S,13.41159357,0,13.41159357,0,-13.41159357,-100,25
"-1,972,357",S,S,S,S,0.954337305,0,0.954337305,0,-0.954337305,-100,25
"-1,971,357",S,N,N,N,0.092015498,0,0.092015498,0,-0.092015498,-100,25
"-1,970,357",S,S,S,N,0.335084889,0,0.335084889,0,-0.335084889,-100,25
"-1,969,357",SR,SR,SR,SR,1.785265318,0.04127787,1.769786141,0.025798694,-1.743987448,-97.68785796,25
"-1,968,357",SR,SR,SR,SR,2.899796315,0.204378786,2.84906013,0.153642601,-2.695417529,-92.95196063,25
"-1,967,357",SR,SR,SR,SR,3.284406362,0.163677439,3.258320882,0.137591959,-3.120728923,-95.01652899,25
"-1,966,357",SR,SR,SR,SR,1.58814985,0.012038946,1.58814985,0.012038946,-1.576110904,-99.24195151,25
"-1,965,357",S,S,S,N,0.337960113,0,0.337960113,0,-0.337960113,-100,25
"-1,964,357",N,N,N,N,0,0,0,0,0,0,25
"-1,963,357",N,N,N,N,0,0,0,0,0,0,25
"-1,962,357",N,N,N,N,0,0,0,0,0,0,25
"-1,961,357",N,N,N,N,0,0,0,0,0,0,25
"-1,960,357",S,N,N,N,0.069374664,0,0.069374664,0,-0.069374664,-100,25
"-1,959,357",S,N,N,N,0.066223345,0,0.066223345,0,-0.066223345,-100,25
"-1,958,357",S,S,S,N,0.29958107,0,0.29958107,0,-0.29958107,-100,25
"-1,957,357",S,N,N,N,0.02121443,0,0.02121443,0,-0.02121443,-100,25
"-1,956,357",S,S,S,S,0.808696922,0,0.808696922,0,-0.808696922,-100,25
"-1,955,357",S,S,S,S,1.111952125,0.055903578,1.111952125,0.055903578,-1.056048547,-94.97248337,25
"-1,954,357",S,S,S,S,0.630098084,0.01118087,0.630098084,0.01118087,-0.618917214,-98.22553499,25
"-1,953,357",S,N,N,N,0.032967249,0.217022511,0.031247119,0.215302382,0.184055262,558.2973029,25
"-1,952,357",S,N,N,N,0.11667411,0.037556182,0.114953973,0.035836045,-0.079117928,-67.81104051,25
"-1,951,357",S,N,N,N,0.007740569,0,0.007740569,0,-0.007740569,-100,25
"-1,950,357",S,S,S,S,0.635279182,0,0.635279182,0,-0.635279182,-100,25
"-1,949,357",S,N,N,N,0.003726886,0,0.003726886,0,-0.003726886,-100,25
"-1,948,357",N,N,N,N,0,0,0,0,0,0,25
"-1,947,357",N,N,N,N,0,0,0,0,0,0,25
"-1,946,357",S,N,N,N,0.010318946,0,0.010318946,0,-0.010318946,-100,25
"-1,945,357",N,N,N,N,0,0,0,0,0,0,25
"-1,944,357",N,N,N,N,0,0,0,0,0,0,25
"-1,943,357",N,N,N,N,0,0,0,0,0,0,25
"-1,982,358",N,N,N,N,0,0,0,0,0,0,25
"-1,981,358",N,N,N,N,0,0,0,0,0,0,25
"-1,980,358",N,N,N,N,0,0,0,0,0,0,25
"-1,979,358",N,N,N,N,0,0,0,0,0,0,25
"-1,978,358",MSR,MS,M,N,0.450535502,0.985082419,0.100599299,0.635146216,0.534546917,118.6470133,25
"-1,977,358",SR,SR,SR,SR,4.083196889,8.033178967,2.167553463,6.117535542,3.949982078,96.73748745,25
"-1,976,358",SR,SR,SR,SR,5.372883023,7.089561968,2.511369407,4.228048353,1.716678945,31.95079695,25
